Comparison,Stage 1 Model,Stage 2 Model,level_2,Stage 1 Time (s),S1 Accuracy,S1 Precision,S1 Recall,S1 F1 Score,S1 Confusion Matrix,Stage 2 Time (s),S2 Accuracy,S2 Precision,S2 Recall,S2 F1 Score,S2 Confusion Matrix,Combined Accuracy,Combined Precision,Combined Recall,Combined F1 Score,Combined Confusion Matrix,Test Dataset,level_1,S1 Train Time (s),S1 Test Time (s),S2 Train Time (s),S2 Test Time (s),Feature Count,Features
Classification Results,Logistic Regression,Random Forest (Gini),other,71.24898,0.9478,0.9277,0.9478,0.9354,[[6077071 71234] [ 264701 28625]],29.88965,0.9999,0.9999,0.9999,0.9999,[[98997 11] [ 0 851]],0.9478,0.9307,0.9478,0.9353,[[6077071 71225 9] [ 235608 27772 2] [ 29093 0 851]],,,,,,,,
Classification Results,Naive Bayes,Decision Tree (Gini),self,3.50884,0.9382,0.9311,0.9382,0.9344,[[5982369 165936] [ 232111 61215]],1.43134,0.9882,0.9919,0.9882,0.9893,[[218646 2683] [ 1 5821]],0.9382,0.9324,0.9382,0.9345,[[5982369 163253 2683] [ 207989 55393 0] [ 24122 1 5821]],,,,,,,,
Classification Results,Naive Bayes,Decision Tree (Gini),other,3.20446,0.94,0.9259,0.94,0.9323,[[6017065 131240] [ 255278 38048]],1.78356,0.9853,0.9906,0.9853,0.9868,[[162353 2491] [ 0 4444]],0.94,0.9271,0.94,0.9323,[[6017065 128749 2491] [ 229778 33604 0] [ 25500 0 4444]],,,,,,,,
Classification Results,Naive Bayes,Gradient Boosting,self,3.50884,0.9382,0.9311,0.9382,0.9344,[[5982369 165936] [ 232111 61215]],68.96772,0.998,0.9981,0.998,0.998,[[220873 456] [ 1 5821]],0.9382,0.9334,0.9382,0.9346,[[5982369 165480 456] [ 207989 55393 0] [ 24122 1 5821]],,,,,,,,
Classification Results,Naive Bayes,Gradient Boosting,other,3.20446,0.94,0.9259,0.94,0.9323,[[6017065 131240] [ 255278 38048]],69.66773,0.9785,0.9876,0.9785,0.9814,[[161298 3546] [ 96 4348]],0.94,0.9267,0.94,0.9323,[[6017065 127694 3546] [ 229778 33604 0] [ 25500 96 4348]],,,,,,,,
Classification Results,Naive Bayes,KNN (k=5),self,3.50884,0.9382,0.9311,0.9382,0.9344,[[5982369 165936] [ 232111 61215]],2.28117,0.9217,0.9807,0.9217,0.9437,[[203545 17784] [ 0 5822]],0.9382,0.9311,0.9382,0.9344,[[5982369 148154 17782] [ 207989 55391 2] [ 24122 0 5822]],,,,,,,,
Classification Results,Naive Bayes,KNN (k=5),other,3.20446,0.94,0.9259,0.94,0.9323,[[6017065 131240] [ 255278 38048]],1.95405,0.8747,0.9783,0.8747,0.9146,[[143641 21203] [ 1 4443]],0.94,0.926,0.94,0.9323,[[6017065 110043 21197] [ 229778 33598 6] [ 25500 1 4443]],,,,,,,,
Classification Results,Naive Bayes,Logistic Regression,self,3.50884,0.9382,0.9311,0.9382,0.9344,[[5982369 165936] [ 232111 61215]],3.99651,0.8427,0.9673,0.8427,0.8942,[[187482 33847] [ 1884 3938]],0.9378,0.9311,0.9378,0.9341,[[5982369 132803 33133] [ 207989 54679 714] [ 24122 1884 3938]],,,,,,,,
Classification Results,Naive Bayes,Logistic Regression,other,3.20446,0.94,0.9259,0.94,0.9323,[[6017065 131240] [ 255278 38048]],2.94796,0.7918,0.9604,0.7918,0.8619,[[131669 33175] [ 2074 2370]],0.9395,0.9259,0.9395,0.9318,[[6017065 99110 32130] [ 229778 32559 1045] [ 25500 2074 2370]],,,,,,,,
Classification Results,Naive Bayes,Naive Bayes,self,3.50884,0.9382,0.9311,0.9382,0.9344,[[5982369 165936] [ 232111 61215]],0.14984,0.2984,0.9742,0.2984,0.4282,[[ 62032 159297] [ 66 5756]],0.9321,0.9297,0.9321,0.9281,[[5982369 45801 120135] [ 207989 16231 39162] [ 24122 66 5756]],,,,,,,,
